id,name,manufacturer,pack,weight,height,width,length,cost
209,High Quality Tiny Post It Notes,Offices-R-Us,69,110.4,0.5,0.3,0.4,8.35
210,Generic Small Brown Stapler by WizBang,WizBang,3,38.4,4,2.4,3.2,30.35
211,High Quality Brown Small Stapler by WizBang,WizBang,1,12.8,4,2.4,3.2,11.47
212,Large High Quality White Ink Pens by WizBang,WizBang,100,1120,3.5,2.1,2.8,78.01
213,Duck Lake High Quality Small Brown Paperweights,Duck Lake,4,44.8,3.5,2.1,2.8,15.62
214,Pink High Quality Thumbtacks,6% Solution,450,2880,2,1.2,1.6,170.51
215,High Quality Blue Medium Ink Pens,Offices-R-Us,830,7968,3,1.8,2.4,284.63
216,Medium Green Generic Pencils,Offices-R-Us,610,4880,2.5,1.5,2,109.58
217,Duck Lake High Quality Tiny Paperweights,Duck Lake,5,48,3,1.8,2.4,17.76
218,Black Generic Large Paperweights by WizBang,WizBang,9,129.6,4.5,2.7,3.6,33.25
219,Duck Lake Black Large Tablets,Duck Lake,600,7680,4,2.4,3.2,493.79
220,Generic Pink Small Paperclips by Deep Office Supplies,Deep Office Supplies,770,2464,1,0.6,0.8,187.78
221,Generic Tiny Tablets by Deep Office Supplies,Deep Office Supplies,470,3760,2.5,1.5,2,304.53
222,Duck Lake Generic Green Tiny Thumbtacks,Duck Lake,410,1312,1,0.6,0.8,28.4
223,High Quality Medium Paperweights,6% Solution,9,115.2,4,2.4,3.2,31.84
224,Generic Large Green Pencils,6% Solution,910,8736,3,1.8,2.4,174.23
225,Small High Quality Pink Stapler by Deep Office Supplies,Deep Office Supplies,5,64,4,2.4,3.2,49.36
226,Pink Generic Medium Tablets,6% Solution,320,3584,3.5,2.1,2.8,309.3
227,White Large Generic Paperclips,Offices-R-Us,630,4032,2,1.2,1.6,185.22
228,High Quality Brown Tiny Paperweights by WizBang,WizBang,8,76.8,3,1.8,2.4,28.1
229,Duck Lake Medium Black Ink Pens,Duck Lake,640,6144,3,1.8,2.4,282.17
230,Green Small Pencils,6% Solution,140,896,2,1.2,1.6,35.47
231,Pink Tiny Generic Paperclips by WizBang,WizBang,770,1232,0.5,0.3,0.4,161.96
232,High Quality Small Brown Thumbtacks,6% Solution,440,2112,1.5,0.9,1.2,98.81
233,Medium Generic White Paperclips,6% Solution,550,2640,1.5,0.9,1.2,147.59
234,Pink High Quality Small Post It Notes,6% Solution,71,113.6,0.5,0.3,0.4,33
235,White Tiny Ink Pens,6% Solution,510,3264,2,1.2,1.6,200.88
236,Large Generic Pink Thumbtacks by Deep Office Supplies,Deep Office Supplies,300,2400,2.5,1.5,2,125.52
237,Brown Medium Post It Notes,6% Solution,78,249.6,1,0.6,0.8,22.45
238,Duck Lake Green Tiny High Quality Paperweights,Duck Lake,6,57.6,3,1.8,2.4,20.85
239,Green Large Post It Notes,6% Solution,8,38.4,1.5,0.9,1.2,3.23
240,Tiny High Quality White Ink Pens,Offices-R-Us,880,5632,2,1.2,1.6,324.73
241,High Quality Black Medium Tablets by Deep Office Supplies,Deep Office Supplies,200,2240,3.5,2.1,2.8,205.38
242,White Large Generic Paperclips by Deep Office Supplies,Deep Office Supplies,550,3520,2,1.2,1.6,167.88
243,High Quality Brown Tiny Tablets by WizBang,WizBang,410,3280,2.5,1.5,2,307.75
244,Blue Medium Post It Notes,6% Solution,67,214.4,1,0.6,0.8,15.92
245,Generic Red Large Thumbtacks,Offices-R-Us,680,5440,2.5,1.5,2,88.42
246,Duck Lake Red High Quality Small Stapler,Duck Lake,2,25.6,4,2.4,3.2,20.78
247,Generic Small Ink Pens,6% Solution,260,2080,2.5,1.5,2,86.1
248,Large Blue High Quality Stapler,Offices-R-Us,9,144,5,3,4,81.22
249,High Quality Blue Small Pencils,Offices-R-Us,630,4032,2,1.2,1.6,134.54
250,Red Generic Small Pencils,Offices-R-Us,590,3776,2,1.2,1.6,64.25
251,Green High Quality Large Tablets,Offices-R-Us,220,2816,4,2.4,3.2,201.07
252,Small Generic Tablets,Offices-R-Us,920,8832,3,1.8,2.4,521.25
253,Tiny High Quality Post It Notes by Deep Office Supplies,Deep Office Supplies,92,147.2,0.5,0.3,0.4,15.62
254,Blue Small High Quality Tablets by Deep Office Supplies,Deep Office Supplies,550,5280,3,1.8,2.4,382.39
255,High Quality Tiny Red Thumbtacks by WizBang,WizBang,820,2624,1,0.6,0.8,46.92
256,Pink High Quality Tiny Paperweights,Offices-R-Us,10,96,3,1.8,2.4,36.44
257,Generic Black Large Paperclips,6% Solution,180,1152,2,1.2,1.6,62.92
258,Generic Black Small Stapler by Deep Office Supplies,Deep Office Supplies,1,12.8,4,2.4,3.2,11.47
259,Medium White High Quality Ink Pens by WizBang,WizBang,540,5184,3,1.8,2.4,269.54
260,Pink Generic Paperclips by WizBang,WizBang,280,896,1,0.6,0.8,88.88
261,Tiny Red Stapler by WizBang,WizBang,6,67.2,3.5,2.1,2.8,54.01
262,Generic Green Large Paperweights by Deep Office Supplies,Deep Office Supplies,1,14.4,4.5,2.7,3.6,4.43
263,Small Generic Tablets by Deep Office Supplies,Deep Office Supplies,440,4224,3,1.8,2.4,272.76
264,Red Generic Large Ink Pens,6% Solution,910,10192,3.5,2.1,2.8,245.31
265,Large Blue High Quality Paperclips,Offices-R-Us,350,2240,2,1.2,1.6,90.92
266,Red Tiny High Quality Thumbtacks by WizBang,WizBang,410,1312,1,0.6,0.8,28.4
267,Duck Lake High Quality Large Green Paperclips,Duck Lake,100,640,2,1.2,1.6,28.44
268,High Quality Medium Brown Ink Pens by Deep Office Supplies,Deep Office Supplies,650,6240,3,1.8,2.4,262.43
269,Generic Red Small Pencils by WizBang,WizBang,140,896,2,1.2,1.6,21.31
270,Brown High Quality Medium Pencils,Offices-R-Us,700,5600,2.5,1.5,2,193.35
271,Duck Lake Large High Quality Green Post It Notes,Duck Lake,61,292.8,1.5,0.9,1.2,18.32
272,Duck Lake Large Generic Blue Thumbtacks,Duck Lake,880,7040,2.5,1.5,2,162.62
273,Tiny High Quality Black Paperclips by Deep Office Supplies,Deep Office Supplies,900,1440,0.5,0.3,0.4,151.72
274,White Medium Paperweights by WizBang,WizBang,5,64,4,2.4,3.2,19.86
275,Duck Lake Generic Pink Paperweights,Duck Lake,2,28.8,4.5,2.7,3.6,9.18
276,High Quality Medium Paperclips by WizBang,WizBang,590,2832,1.5,0.9,1.2,112.59
277,Large Brown Generic Post It Notes by Deep Office Supplies,Deep Office Supplies,100,480,1.5,0.9,1.2,32.91
278,Large Brown Generic Paperclips,Offices-R-Us,690,4416,2,1.2,1.6,149.88
279,Duck Lake Medium Generic Brown Thumbtacks,Duck Lake,420,2688,2,1.2,1.6,95.44
280,Medium Generic Thumbtacks by WizBang,WizBang,440,2816,2,1.2,1.6,116.03
281,High Quality Red Paperweights,Offices-R-Us,10,144,4.5,2.7,3.6,34.13
282,Red Generic Medium Post It Notes by Deep Office Supplies,Deep Office Supplies,48,153.6,1,0.6,0.8,6.18
283,High Quality Tiny Ink Pens,Offices-R-Us,720,4608,2,1.2,1.6,257.62
284,High Quality Black Thumbtacks by WizBang,WizBang,280,2240,2.5,1.5,2,106.81
285,High Quality Small Brown Paperclips,6% Solution,100,320,1,0.6,0.8,28.44
286,Brown Medium Post It Notes by Deep Office Supplies,Deep Office Supplies,25,80,1,0.6,0.8,8.65
287,Duck Lake Brown Generic Paperclips,Duck Lake,520,832,0.5,0.3,0.4,63.74
288,Duck Lake Blue Medium Paperweights,Duck Lake,9,115.2,4,2.4,3.2,31.14
289,White Tiny Generic Thumbtacks by WizBang,WizBang,390,1248,1,0.6,0.8,90.28
290,Blue High Quality Tiny Paperweights,Offices-R-Us,7,67.2,3,1.8,2.4,24.44
291,High Quality Small Red Paperclips by Deep Office Supplies,Deep Office Supplies,890,2848,1,0.6,0.8,64.88
292,Large Pink Generic Post It Notes,6% Solution,84,403.2,1.5,0.9,1.2,42.57
293,Green Small Generic Stapler,Offices-R-Us,10,128,4,2.4,3.2,85.95
294,Generic Green Small Stapler,Offices-R-Us,6,76.8,4,2.4,3.2,54.99
295,Duck Lake Tiny Pink High Quality Paperclips,Duck Lake,900,1440,0.5,0.3,0.4,209.27
296,Small Blue Paperweights,6% Solution,9,100.8,3.5,2.1,2.8,30.44
297,Generic White Large Thumbtacks,Offices-R-Us,950,7600,2.5,1.5,2,260.98
