Id,a,b,c,d,e,f,g,outcome
10181,-0.354511865,0.673493546,-0.473360214,-0.196809932,-0.91181439,-0.68812977,-0.803598915,11.45681302
10182,-0.892774944,0.553956021,0.053072387,-0.417422003,0.167195856,-0.243873083,0.950913261,-0.843507274
10183,0.401192766,-0.130260346,-0.899721223,0.865372521,0.997082725,-0.827857848,-0.296688228,0.536236452
10184,0.784876406,0.417052888,0.619505511,0.079252185,-0.794653225,-0.758005235,-0.242307856,7.105592054
10185,-0.052464795,-0.728128478,0.662301518,-0.95055734,-0.210240181,-0.897736815,-0.232185524,-0.237292012
10186,0.26095836,0.743963874,0.488553786,-0.046378287,0.840092185,0.479010908,-0.390160608,-1.164140118
10187,0.765568391,0.547431221,-0.053197698,0.809575693,0.396104071,-0.096900003,0.175768772,0.786953971
10188,-0.086961223,-0.378738776,0.565231725,0.055701339,0.983951401,-0.768298955,-0.207167195,-0.597308175
10189,-0.303981644,-0.527238191,0.762312226,-0.949857916,-0.58918149,0.890898188,-0.642850539,1.329967674
10190,0.498922378,0.235321549,0.39837461,0.35932267,-0.296798088,-0.238872573,0.774708773,4.716107857
10191,-0.552899509,0.620592329,-0.728166694,0.24020097,-0.766537264,-0.820498632,0.194475141,8.222252018
10192,-0.330408594,-0.590008276,0.923806413,-0.382001611,0.386388752,-0.230455579,0.234779989,0.286675486
10193,0.521662683,-0.524746678,-0.933376434,0.312826603,0.974014366,0.306436707,-0.369398729,-0.571244701
10194,0.754535495,0.240822733,0.290917361,0.788938459,0.328540973,0.117510979,0.979460586,0.265976986
10195,-0.202448201,0.106807122,-0.153296813,0.234846569,0.287006117,-0.670223155,0.466600487,-15.80891836
10196,-0.012124697,-0.981190265,-0.417470206,-0.648415582,0.73507509,0.825241686,-0.78774651,-4.456523911
10197,-0.765150937,-0.168115428,0.765419825,0.16406171,0.737196759,0.382382173,0.565254714,0.359668181
10198,-0.064569024,0.958054919,0.408251621,0.806311904,0.077865638,-0.137166548,0.386720295,-2.316357121
10199,-0.654072704,-0.249772078,0.230298995,0.232318134,0.091397523,-0.980898009,-0.738121206,-0.826717919
10200,-0.524572335,-0.903078802,0.430330666,-0.92167674,-0.529479754,-0.770491273,0.600587737,0.138849212
10201,0.456521129,-0.599245862,0.947622542,0.1083839,-0.794117121,0.490279125,0.395954146,2.218533605
10202,-0.878860223,0.999289342,-0.206457788,-0.251504138,-0.85638058,0.448346591,0.141545095,-0.819364598
10203,-0.47912022,0.056367204,-0.961498978,0.295729183,-0.633262499,-0.191091861,-0.002689086,0.512997435
10204,-0.693951155,-0.888847876,-0.076992224,-0.676905407,-0.454174459,-0.90676847,-0.878396623,-0.029046656
10205,-0.059448485,-0.656287458,0.99156983,-0.941411987,0.207009844,-0.814193249,-0.340326909,-0.15024076
10206,0.087013057,-0.836992293,0.777889301,-0.009469314,-0.921014214,0.879793964,-0.840090745,2.484940353
10207,0.953677181,-0.940629973,0.1421562,-0.894806439,-0.963168722,0.886483727,-0.139802032,-2.251468222
10208,-0.314602547,0.876740437,-0.782018109,-0.632394484,-0.480941836,0.016864805,0.583097564,1.839638432
10209,0.939418186,-0.834537613,0.010041136,0.712282404,-0.730782863,-0.698570604,0.5638466,-0.146299082
10210,-0.194265897,0.626629751,0.241834339,-0.17282999,0.703615571,-0.950134931,-0.670225735,-3.61560154
10211,0.398069165,0.47456725,0.996396051,-0.981260661,-0.202076795,0.301395973,0.749931729,-0.289425867
10212,-0.560151801,-0.360086945,-0.1189242,-0.833169493,0.337694929,0.402827548,0.232493539,1.729072461
10213,-0.604314102,0.127499566,0.608879818,-0.153411302,0.066444705,-0.564577012,-0.214077565,-0.570458331
10214,0.648050676,-0.887123986,0.094031233,-0.34629554,-0.246695995,0.342417123,-0.16061481,-2.219310395
10215,-0.496133279,0.04559918,-0.655297413,0.721222044,0.62133699,-0.995172491,0.091903561,6.538983681
10216,-0.804476319,0.577213661,-0.23897443,-0.526560115,0.001151934,-0.901941028,0.472900352,-2.615649423
10217,-0.047496553,-0.65367432,0.012121709,-0.919023349,0.626851971,-0.42999796,0.132091271,3.751809434
10218,0.57626514,-0.430381025,0.432123327,-0.43002478,0.792080254,-0.069846794,0.182648139,-2.501246692
10219,0.543958513,-0.252643805,-0.930831425,0.815918911,0.073217233,0.871652934,0.047642697,-0.762343646
10220,0.390190246,-0.334885705,0.543719589,0.770013972,-0.736310159,-0.433704821,0.558929681,-0.643649701
10221,0.463877131,-0.258834864,-0.870365086,0.038111815,-0.505269048,0.54427976,0.824104925,-0.601925658
10222,0.19428148,0.663731552,0.457508424,0.08351717,-0.87339373,0.08966642,-0.769425618,-2.180875274
10223,-0.638955099,0.711420075,-0.810202978,0.034460898,0.288526666,-0.832571183,-0.351199249,9.016119032
10224,-0.578888132,0.015804008,-0.829651022,-0.074062642,-0.152263412,-0.195443256,-0.532849203,0.842418363
10225,0.119533086,0.839426619,-0.566359576,-0.516988929,-0.486544726,0.466753059,0.476703192,0.543340935
10226,0.481439257,0.909979194,-0.260213628,0.748312372,0.058789822,0.686959897,0.009334739,0.300705763
10227,-0.724143131,0.783483249,0.219509937,-0.695781259,-0.860106595,0.592552679,-0.258041507,-0.20233132
10228,0.307080266,0.48300701,0.307461546,0.01900335,0.242856047,0.550247279,0.605391026,176.354099
10229,0.873237875,0.208811621,0.499374403,-0.548667089,-0.583571294,-0.717923764,0.550636558,2.478806981
10230,0.77707387,0.666649043,0.772477106,0.868407287,-0.190265231,-0.573611398,-0.386781111,269.8116766
10231,-0.086301273,0.150188278,0.348214624,-0.660483528,-0.779298761,0.618279881,0.876495798,1.077271527
10232,0.658966468,0.493953858,-0.466390725,-0.850715158,0.074472892,-0.008193334,0.394324729,0.446211385
10233,-0.171486949,0.654724337,-0.245280222,-0.376789115,-0.288923044,0.59197999,0.4305581,0.850271896
10234,0.679502609,0.854381319,0.878671829,-0.47679711,0.94707602,0.107608825,0.237242548,-3.749437266
10235,0.919214771,0.549202735,0.951883622,0.200640142,0.704535849,0.617827261,0.372790956,2.100610317
10236,0.956073667,-0.030997351,-0.909593636,-0.287961594,-0.914338078,0.510494639,-0.722434314,-0.290240382
10237,-0.711209779,-0.325209877,0.537889345,0.362172984,0.328966866,0.929973647,-0.083785357,1.004871031
10238,0.984873856,0.624540927,0.449141283,-0.167757372,-0.673949554,0.131657794,-0.207409649,0.92001711
10239,-0.070760989,-0.318866783,-0.864225483,-0.161476604,-0.480887621,-0.30250194,0.633538953,-0.020624544
10240,-0.370068765,0.648001657,-0.087244156,0.292439822,-0.567339867,-0.783772685,0.923639101,-5.062410756
10241,-0.441496082,-0.150599795,0.002579186,-0.17731061,0.82443461,0.866184575,0.709408566,2.289666733
10242,-0.120172371,-0.51138079,0.808515578,0.803724787,0.816365459,-0.983543299,-0.049071398,-0.508418903
10243,0.143400569,0.204871999,0.332866991,0.29211758,0.519378393,-0.784560597,-0.142788481,-5.222205546
10244,0.457334494,-0.437828864,-0.88890384,0.407264028,-0.813469172,-0.631288768,-0.832898751,0.143704052
10245,0.47714457,0.997752967,0.09486303,0.216052099,0.205621642,-0.442759705,-0.502530889,3.768198358
10246,-0.77292246,0.524160651,0.286272216,0.848366939,-0.561725312,0.760273603,-0.122828881,0.222917427
10247,0.900165918,0.476872951,0.672386834,-0.584973866,-0.42179785,-0.473701833,-0.568344756,4.173231225
10248,-0.334858727,0.070378868,0.726491294,0.773869617,-0.438692369,-0.748563534,0.568088779,-0.771604453
10249,0.823394416,-0.360193601,0.901444592,-0.218498028,-0.75815577,-0.283601553,-0.189078853,0.981318064
10250,-0.733731426,-0.058178364,0.595816828,-0.486972479,0.798474916,-0.390261327,0.335650409,-0.249771276
10251,-0.810601273,0.002931177,0.145445791,0.631026443,-0.422921316,0.276104218,-0.999128282,0.285731792
10252,0.75403103,0.125159937,0.578875153,0.943063302,-0.914427573,0.724697499,-0.793186031,-3.42288006
10253,0.456499492,-0.326360952,-0.894132968,0.995643484,-0.26674154,-0.680096842,0.606929507,0.261903886
10254,-0.931831999,-0.12998049,-0.257385221,0.093659339,-0.567618096,-0.210904991,0.865721393,-0.11998649
